date,Software,Healthcare,Hardware,Biotech,TELECOM,Manufacturing,Financial Products and Services,IT Services,Industrial/Energy,Retail,Media
2014,27,16,0,0,0,0,8,10,5,9,0
2013,23,14,0,11,0,0,7,0,0,7,16
2012,23,14,0,11,0,0,0,0,7,12,7
2011,23,19,0,13,0,0,0,7,13,0,5
2010,16,30,0,15,0,0,0,5,8,5,0
2009,19,17,0,8,0,0,5,0,17,9,0
2008,13,16,0,11,0,0,0,0,8,12,7
2007,27,19,0,12,0,0,0,0,8,6,5
2006,18,21,0,18,0,0,6,0,6,8,0
2005,18,20,8,12,0,0,0,6,6,,6
2004,22,16,10,10,6,0,8,8,0,7,0
2003,26,13,12,11,5,12,12,12,12,12,12
2002,40,14,5,5,5,0,0,0,0,0,0
