Date,Seed,EarlyStage,Expansion,LaterStage
2015,902.5658,19830.838,22127.4616,15950.3229
2014,827.8324,16124.0971,21450.6786,12433.0454
2013,1030.5651,10435.4863,9904.9855,8914.8962
2012,851.0594,8534.8206,9588.6513,8688.4124
2011,1123.4021,9109.3671,9927.7011,9743.0459
2010,1654.995,6189.5943,8488.4251,7191.9026
2009,1676.5309,5007.6684,6830.2333,6821.4746
2008,1957.2092,6045.8821,11193.1548,11239.3522
2007,1832.067,6298.324,10963.9528,13011.7809
2006,1356.7039,4950.951,11033.9923,10524.7727
2005,686.4354,4283.6626,8289.1721,9986.0976
2004,506.7175,4113.4874,8961.4312,9270.5549
2003,365.3995,3665.8183,9760.1245,5890.8183
2002,340.6764,4041.9392,12067.137,5752.8001
2001,816.8095,8612.3668,22805.9984,8703.4265
2000,3154.7226,25330.38,58886.6439,17626.1013
1999,3620.833,11481.9629,29275.7076,10530.0939
1998,1766.5538,5505.0917,10354.6184,3935.2675
1997,1361.131,3460.9766,7587.7639,2661.6831
1996,1272.065,2665.4927,5421.0019,1926.8634
1995,1269.0206,1741.1617,3554.6916,1451.6495
1994,781.2,839.7,1539.1,985.7
1993,629.6,575.8,1866,585.4
1992,556.5,566.8,1778.7,684.3
1991,241.8,548.7,1100.2,363.3
1990,397.1,684.4,1269.2,471.7
1989,558.4,737.6,1595.8,427.8
1988,670.5,714.6,1563.2,457.7
1987,623.4,750.5,1495.1,494.6
1986,759.7,620.3,1198.8,545.7
1985,526.2,517.8,1245.7,486.8
